,accession,hit_id,hit_def,expect,score,positives,gaps
995,5606,gnl|BL_ORD_ID|5606,"YPL217C BMS1 SGDID:S000006138, Chr XVI from 143171-139620, Genome Release 64-3-1, reverse complement, Verified ORF, ""GTPase required for ribosomal subunit synthesis and rRNA processing; required for synthesis of 40S ribosomal subunits and for processing the 35S pre-rRNA at sites A0, A1, and A2; interacts with Rcl1p, which stimulates its GTPase and U3 snoRNA binding activities; has similarity to Tsr1p""",0.0,1895.0,671,119
272,4556,gnl|BL_ORD_ID|4556,"YMR290C HAS1 SGDID:S000004903, Chr XIII from 851591-850074, Genome Release 64-3-1, reverse complement, Verified ORF, ""ATP-dependent RNA helicase; involved in the biogenesis of 40S and 60S ribosome subunits; localizes to both the nuclear periphery and nucleolus; highly enriched in nuclear pore complex fractions; constituent of 66S pre-ribosomal particles""",0.0,1643.0,377,1
242,4556,gnl|BL_ORD_ID|4556,"YMR290C HAS1 SGDID:S000004903, Chr XIII from 851591-850074, Genome Release 64-3-1, reverse complement, Verified ORF, ""ATP-dependent RNA helicase; involved in the biogenesis of 40S and 60S ribosome subunits; localizes to both the nuclear periphery and nucleolus; highly enriched in nuclear pore complex fractions; constituent of 66S pre-ribosomal particles""",0.0,1643.0,377,1
724,763,gnl|BL_ORD_ID|763,"YDL160C DHH1 SGDID:S000002319, Chr IV from 171930-170410, Genome Release 64-3-1, reverse complement, Verified ORF, ""Cytoplasmic DEAD-box helicase and mRNA decapping activator; interacts with decapping and deadenylase complexes to coordinate mRNA decapping and decay; regulates general translational repression; translational activator of select mRNAs during filamentous growth, mating and autophagy; cooperates with Ngr1p to promote specific mRNA decay; ATP- and RNA-bound form promotes processing body assembly, while ATPase stimulation by Not1p promotes disassembly; forms cytoplasmic foci on replication stress""",0.0,1534.0,336,0
695,763,gnl|BL_ORD_ID|763,"YDL160C DHH1 SGDID:S000002319, Chr IV from 171930-170410, Genome Release 64-3-1, reverse complement, Verified ORF, ""Cytoplasmic DEAD-box helicase and mRNA decapping activator; interacts with decapping and deadenylase complexes to coordinate mRNA decapping and decay; regulates general translational repression; translational activator of select mRNAs during filamentous growth, mating and autophagy; cooperates with Ngr1p to promote specific mRNA decay; ATP- and RNA-bound form promotes processing body assembly, while ATPase stimulation by Not1p promotes disassembly; forms cytoplasmic foci on replication stress""",0.0,1530.0,335,0
1108,5702,gnl|BL_ORD_ID|5702,"YPL119C DBP1 SGDID:S000006040, Chr XVI from 326264-324411, Genome Release 64-3-1, reverse complement, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; accelerates eIF4F-dependent assembly of 48S translation preinitiation complex (PIC), stimulating recruitment of mRNAs with long, structured 5'-UTRs; cooperates with DEAD-box RNA helicase and paralog Ded1p, stimulating PIC attachment and highly processive scanning by the 40S ribosomal subunit; protein abundance increases in response to DNA replication stress""",0.0,1490.0,380,23
1039,5727,gnl|BL_ORD_ID|5727,"YPL093W NOG1 SGDID:S000006014, Chr XVI from 370978-372921, Genome Release 64-3-1, Verified ORF, ""Putative GTPase; associates with free 60S ribosomal subunits in the nucleolus and is required for 60S ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; member of the ODN family of nucleolar G-proteins""",0.0,1473.0,439,34
1109,5356,gnl|BL_ORD_ID|5356,"YOR204W DED1 SGDID:S000005730, Chr XV from 722911-724725, Genome Release 64-3-1, Verified ORF, ""ATP-dependent DEAD-box RNA helicase with strand-annealing activity; promotes eIF4F-dependent 48S translation preinitiation complex (PIC) assembly, stimulating recruitment of mRNAs with long, structured 5'-UTRs; cooperates with Dbp1p in PIC attachment and scanning; ATPase activity stimulated by mRNA cap-associated factor binding; directly binds eIF4G; role in spliceosomal complex disassembly; mutation in human homolog DBY associated with male infertility; human homolog DDX3X complements the null""",0.0,1456.0,368,36
1110,5356,gnl|BL_ORD_ID|5356,"YOR204W DED1 SGDID:S000005730, Chr XV from 722911-724725, Genome Release 64-3-1, Verified ORF, ""ATP-dependent DEAD-box RNA helicase with strand-annealing activity; promotes eIF4F-dependent 48S translation preinitiation complex (PIC) assembly, stimulating recruitment of mRNAs with long, structured 5'-UTRs; cooperates with Dbp1p in PIC attachment and scanning; ATPase activity stimulated by mRNA cap-associated factor binding; directly binds eIF4G; role in spliceosomal complex disassembly; mutation in human homolog DBY associated with male infertility; human homolog DDX3X complements the null""",0.0,1433.0,364,28
907,837,gnl|BL_ORD_ID|837,"YDL084W SUB2 SGDID:S000002242, Chr IV from 305237-306577, Genome Release 64-3-1, Verified ORF, ""Component of the TREX complex required for nuclear mRNA export; member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spliceosome assembly; homolog of the human splicing factor hUAP56; relocalizes from nucleus to cytoplasm upon DNA replication stress""",0.0,1430.0,336,23
853,837,gnl|BL_ORD_ID|837,"YDL084W SUB2 SGDID:S000002242, Chr IV from 305237-306577, Genome Release 64-3-1, Verified ORF, ""Component of the TREX complex required for nuclear mRNA export; member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spliceosome assembly; homolog of the human splicing factor hUAP56; relocalizes from nucleus to cytoplasm upon DNA replication stress""",0.0,1430.0,336,23
880,837,gnl|BL_ORD_ID|837,"YDL084W SUB2 SGDID:S000002242, Chr IV from 305237-306577, Genome Release 64-3-1, Verified ORF, ""Component of the TREX complex required for nuclear mRNA export; member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spliceosome assembly; homolog of the human splicing factor hUAP56; relocalizes from nucleus to cytoplasm upon DNA replication stress""",0.0,1430.0,336,23
213,4805,gnl|BL_ORD_ID|4805,"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-3-1, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; remodels RNA-protein complex (RNP) to facilitate efficient transcription termination ; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites""",0.0,1426.0,320,2
514,4805,gnl|BL_ORD_ID|4805,"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-3-1, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; remodels RNA-protein complex (RNP) to facilitate efficient transcription termination ; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites""",0.0,1375.0,316,3
406,4805,gnl|BL_ORD_ID|4805,"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-3-1, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; remodels RNA-protein complex (RNP) to facilitate efficient transcription termination ; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites""",0.0,1375.0,316,3
433,4805,gnl|BL_ORD_ID|4805,"YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-3-1, Verified ORF, ""ATP-dependent RNA helicase of the DEAD-box protein family; has strong preference for dsRNA; remodels RNA-protein complex (RNP) to facilitate efficient transcription termination ; required for assembly of Yra1p, Nab2p and Mex67p onto mRNA and formation of nuclear mRNP; involved in mRNA decay and rRNA processing; may be involved in suppression of transcription from cryptic initiation sites""",0.0,1375.0,316,3
