,accession,hit_id,hit_def,expect,score,positives,gaps
366,7881,gnl|BL_ORD_ID|7881,gi|7297995|gb|AAF53237.1| (AE003638) CG5092 gene product [Drosophila melanogaster],0.0,4207.0,1332,130
1457,4124,gnl|BL_ORD_ID|4124,gi|7295014|gb|AAF50342.1| (AE003553) CG5651 gene product [Drosophila melanogaster],0.0,2218.0,499,6
1232,9819,gnl|BL_ORD_ID|9819,gi|7299978|gb|AAF55150.1| (AE003708) Hsc70-4 gene product [Drosophila melanogaster],0.0,1878.0,454,6
1777,9819,gnl|BL_ORD_ID|9819,gi|7299978|gb|AAF55150.1| (AE003708) Hsc70-4 gene product [Drosophila melanogaster],0.0,1871.0,454,6
1233,4680,gnl|BL_ORD_ID|4680,gi|7294437|gb|AAF49782.1| (AE003536) Hsc70-1 gene product [Drosophila melanogaster],0.0,1836.0,438,3
1778,4680,gnl|BL_ORD_ID|4680,gi|7294437|gb|AAF49782.1| (AE003536) Hsc70-1 gene product [Drosophila melanogaster],0.0,1835.0,438,3
1234,9565,gnl|BL_ORD_ID|9565,gi|7299717|gb|AAF54899.1| (AE003698) Hsc70-2 gene product [Drosophila melanogaster],0.0,1760.0,448,10
1779,10910,gnl|BL_ORD_ID|10910,gi|7301096|gb|AAF56230.1| (AE003746) Hsp68 gene product [Drosophila melanogaster],0.0,1757.0,437,6
1235,10910,gnl|BL_ORD_ID|10910,gi|7301096|gb|AAF56230.1| (AE003746) Hsp68 gene product [Drosophila melanogaster],0.0,1757.0,437,6
1780,9565,gnl|BL_ORD_ID|9565,gi|7299717|gb|AAF54899.1| (AE003698) Hsc70-2 gene product [Drosophila melanogaster],0.0,1753.0,448,10
1236,9386,gnl|BL_ORD_ID|9386,gi|10726476|gb|AAG22148.1| (AE003693) CG18743 gene product [Drosophila melanogaster],0.0,1702.0,422,18
1781,9386,gnl|BL_ORD_ID|9386,gi|10726476|gb|AAG22148.1| (AE003693) CG18743 gene product [Drosophila melanogaster],0.0,1701.0,422,18
1237,2707,gnl|BL_ORD_ID|2707,gi|7292698|gb|AAF48095.1| (AE003487) Hsc70-3 gene product [Drosophila melanogaster],0.0,1662.0,442,11
1782,2707,gnl|BL_ORD_ID|2707,gi|7292698|gb|AAF48095.1| (AE003487) Hsc70-3 gene product [Drosophila melanogaster],0.0,1659.0,443,11
1250,10630,gnl|BL_ORD_ID|10630,gi|7300808|gb|AAF55951.1| (AE003737) pit gene product [Drosophila melanogaster],0.0,1641.0,380,3
1739,7524,gnl|BL_ORD_ID|7524,gi|7297629|gb|AAF52881.1| (AE003628) me31B gene product [Drosophila melanogaster],0.0,1545.0,338,0
839,12502,gnl|BL_ORD_ID|12502,gi|7303900|gb|AAF58945.1| (AE003833) BcDNA:LD23830 gene product [Drosophila melanogaster],0.0,1468.0,439,34
1344,3111,gnl|BL_ORD_ID|3111,gi|7293109|gb|AAF48493.1| (AE003500) CG9281 gene product [Drosophila melanogaster],0.0,1456.0,409,9
247,8919,gnl|BL_ORD_ID|8919,gi|7299061|gb|AAF54262.1| (AE003679) CG9748 gene product [Drosophila melanogaster],0.0,1451.0,344,14
842,8919,gnl|BL_ORD_ID|8919,gi|7299061|gb|AAF54262.1| (AE003679) CG9748 gene product [Drosophila melanogaster],0.0,1438.0,340,14
1174,3831,gnl|BL_ORD_ID|3831,gi|7295314|gb|AAF50635.1| (AE003560) CG10077 gene product [Drosophila melanogaster],0.0,1433.0,326,2
1701,6897,gnl|BL_ORD_ID|6897,gi|7296990|gb|AAF52261.1| (AE003610) Hel25E gene product [Drosophila melanogaster],0.0,1413.0,338,23
